"Story","Title","Result","Date","Stability","Duration (s)"
"Testing a REST API","Look up with a valid postcode","SUCCESS","22:05:43","0.0","3.97"
"Testing a REST API","Look up with a invalid postcode","SUCCESS","22:05:53","0.0","0.55"
"Testing a REST API","Validate a postcode","SUCCESS","22:05:54","0.0","1.82"
"Testing a REST API","Get nearest postcodes for a given longitude & latitude","SUCCESS","22:05:56","0.0","0.66"
